family_key	canonical	family_total	variant_count	non_canonical_total	confidence	top_variants	example_line
prajnaparamita	Prajnāpāramitā	25	8	15	high	Prajnāpāramitā:10 | prajñāpāramitā:4 | Prajñāpāramitā:3 | Prajnāpāramita:2 | Prajnāparamita:2 | Prajnapāramita:2 | prajnāpāramitā:1 | Prajnapāramitā:1	prajñāpāramitā. Ed.: Derge-Kanjur, Ni khri, ka-ga.
sadhya	sādhya	13	3	6	high	sādhya:7 | sadhya:5 | Sādhya:1	"bltas nas ni (metr.) ""den Körper des sadhya"
snan	sñan	38	2	5	high	sñan:33 | snaṅ:5	"Lex. srog chags grog ma'i min du snaṅ ""ki ta ka"
bsnal	bsṅal	22	2	4	high	bsṅal:18 | bsñal:4	(HrdB 131,1, skt. 98,20); 'di ni sdug bsṅal
samadhi	Samādhi	31	2	3	high	Samādhi:28 | samādhi:3	Samādhi. - skt. mahavyūha.
arya	Arya	9	2	3	high	Arya:6 | arya:3	"Lex. ka tyā ya na = ~ 'phags min ""Bez. für Arya"
sraddha	śraddhā	5	3	3	high	śraddhā:2 | sraddhā:2 | śraddha:1	"Lex. sraddhā ""gläubiges Vertrauen, Glau-"
upadhyaya	Upādhyāya	21	3	2	high	Upādhyāya:19 | Upādhyāya':1 | Upādhyaya:1	"g@igo cha ""der ind. Upādhyāya Kanakavarman,"
sravaka	śrävaka	16	3	2	high	śrävaka:14 | śrāvaka:1 | Śrāvaka:1	4. npr. ein śrävaka; skt. Tisya.
bodhicaryavatara	Bodhicaryavatāra	6	2	2	high	Bodhicaryavatāra:4 | Bodhicaryavatara:2	Zi ba lha: Byan chub sems dpa'i spyod pa la jug pa / Säntideva: Bodhicaryavatara. Ed.:
sarthavaha	sārthavaha	4	3	2	high	sārthavaha:2 | sārthavāha:1 | Sārthavāha:1	führer (skt. sārthavaha), der es sich gutge-
buddha	Buddha	15	2	1	high	Buddha:14 | Buddhā:1	"end"", einer der Vorzüge des Buddha (Mvy"
tathagata	Tathāgata	10	2	1	high	Tathāgata:9 | tathāgata:1	Tathāgata in sehr naher Zeit ins Parinirväna
vist	ViśT	10	2	1	high	ViśT:9 | ViśT':1	"chen] Vereinigung"" (ViśT 110,5)."
tatha	tathā	7	2	1	high	tathā:6 | Tathā:1	de bzin gśegs pa'! bka' la Sin tu Zugs pa = tathā-
badham	bādham	5	2	1	high	bādham:4 | badham:1	bor = bādham (Mvy 6776).
laan	la'añ	5	2	1	high	la'añ:4 | la'añń:1	Lex. brgya sbyin chun ma la'añ (brDa, ähnl.
siddhartha	Siddhārtha	5	2	1	high	Siddhārtha:4 | siddhartha:1	nes namens Siddhārtha, der ins Nirväna
sravasti	śrävasti	5	2	1	high	śrävasti:4 | Srāvasti:1	"pham par mdzad ""in der Stadt śrävasti im"
abhangig	abhāngig	4	2	1	high	abhāngig:3 | Abhāngig:1	Lex. rtswa dur ba (brDa), vielleicht abhāngig
dharmakaya	Dharmakāya	4	2	1	high	Dharmakāya:3 | dharmakāya:1	sku (skt. dharmakāya), \no bo nid sku (skt.
sramanas	śramanas	4	2	1	high	śramanas:3 | Śramanas:1	"sbyar = cin ""einige śramanas legen sich die"
sriherukabhyudaya	Sriherukabhyudaya	4	2	1	high	Sriherukabhyudaya:3 | Sriherukābhyudaya:1	dPal khrag 'thun mnon par 'byun ba / Sriherukabhyudaya. Ed.: Derge-Kanjur, rGyud
anuvidhanam	anuvidhānam	3	2	1	high	anuvidhānam:2 | anuvidhanam:1	ba = anuvidhānam (Mvy 7500).
apana	apāna	3	2	1	high	apāna:2 | āpana:1	alkoholische Getränke (für skt. āpana) zu
kasy	Kāśy	3	2	1	high	Kāśy:2 | Käśy:1	"len (skt. na mustim karisyati)"" (Käśy 229,"
naga	Nāga	3	2	1	high	Nāga:2 | nāga:1	Lehrer; vgl. Tklu byan. ~ skt. Nāga-
ravana	Rāvana	3	2	1	high	Rāvana:2 | rāvana:1	mermonat, skt. rāvana.
samantaloka	Samantāloka	3	2	1	high	Samantāloka:2 | samantāloka:1	mādhi). — skt. samantāloka.
svastika	Svastika	3	2	1	high	Svastika:2 | svastika:1	2. ein Glückssymbol.- skt. svastika.
