family_key	canonical	family_total	near_year_hits	variant_count	non_canonical_total	top_variants	example_line
viśt	VIST	196	1	4	175	ViST:152 | VisST:22 | VIST:21 | VIiST:1	"boren"" (ViST 226,37)."
schuh	SCHUH	250	196	4	33	SCHUH:217 | SchuH:19 | ScHuH:11 | ScHUH:3	(Berlin); vgl. SchuH 1981a, Nr. 410, p. 344 f.; Signatur: Wadd 13, 9 foll. Während im
imaeda	IMAEDA	52	44	5	7	IMAEDA:45 | lMAEDA:3 | IMaEDA:2 | ImAEDA:1 | IMAeDA:1	Fonds Pelliot Tibetain † Macvonaio [Spanien]/IMAEDA 1978-79 [PT16 usw., mit Nummer des
emmerick	EMMERICK	16	12	6	5	EMMERICK:11 | EmmericK:1 | EmmErick:1 | EmmERIcK:1 | EmMERIcK:1 | EMMERIcK:1	Li yul lun bstan pa. Zit. mit folio-Angabe d. Ed. EmmERIcK 1967, pp. 1-77. Exzp.:
tenzin	TENZIN	12	11	4	5	TENZIN:7 | TEnzin:2 | TEnzIN:2 | TENzIN:1	"""Dus pa rin po che'i rgyud gzer mig. Ed.: TEnzIN NAMDAK 1965. Exzp.: S. Karmay."
chandra	CHANDRA	33	31	3	4	CHANDRA:29 | CHAnDRA:3 | CHanDRA:1	rgyan glin pa (gTer ston): bKa' than sde Ina. Ed.: LOKESH CHANDRA 1982 (Ausgabe
macdonald	MACDONALD	16	14	5	4	MACDONALD:12 | MacDoNALD:1 | MAcDonaLD:1 | MAcDonALD:1 | MACDoNALD:1	MAcDonALD, Ariane 1971] Etudes tibetaines dediees a la memoire de Marcelle Lalou. Paris: Adrien
spanien	SPANIEN	18	16	3	3	SPANIEN:15 | SPAnIEN:2 | SPAnIEn:1	SPANIEN, Ariane T MACDONALD [SPANIEN]/IMAEDA 1978-79
nobel	NOBEL	7	6	2	3	NOBEL:4 | NoBEL:3	prabhāsottamasūtrendrarāja-nāma-mahāyānasūtra. Ed.: NOBEL 1944. Skt.: NOBEL
conze	CONZE	4	4	4	3	ConzE:1 | CoNzE:1 | CoNZe:1 | CONZE:1	mitā-ratnagunasamcaya-gāthā. Ed.: OBERMILLER/CoNzE 1960. Andere Ed.: Yuvama
syed	SYED	4	1	2	3	SyED:3 | SYED:1	Gmelina arborea Roxb. (Meul 543; SyED
snellgrovve	SNELLGROVVE	3	3	2	3	SNELLGROvVE:2 | SNELLGROVvE:1	Biographie des dPal ldan blo gros. Ed.: SNELLGROvVE 1967, pp. 173-238.
bethlenfalvy	BETHLENFALVY	5	4	2	2	BETHLENFALVY:3 | BETHLENFALvY:2	mChog sred: Tshigs su bead pa breya pa / Vararuci: Gāthāsataka. Ed.: BETHLENFALVY
grünwedel	GRÜNWEDEL	5	4	3	2	GRÜNWEDEL:3 | GrÜnwEDEL:1 | GRÜNwEDEL:1	gnas. Ed.: GRÜNWEDEL 1915.
wylie	WYLIE	5	4	3	2	WYLIE:3 | WyLiE:1 | WYLiE:1	WyLiE, Turrell V. 1962: The geography of Tibet according to the 'Dzam-gling-rgyas-bshad. Text and
bacot	BACOT	4	4	3	2	BACOT:2 | BacoT:1 | BAcoT:1	gyi skad bod kyi brda' ka li'i phren bsgrigs ño mtshar nor bwi do Sal. Ed.: BacoT 1930.
monastic	MONASTIC	4	4	2	2	MonasTIc:2 | MONASTIC:2	Bonpo MonasTIc CENTRE 1965. Andere, teilw. Ed.: SnELLGROVE 1967a (Kürzelzusatz
vogel	VOGEL	4	3	2	2	VoGeL:2 | VOGEL:2	Vāgbhata | VoGeL 1965 [Ahs]
richardson	RICHARDSON	3	3	3	2	RicHARDsoN:1 | RicHARDSoN:1 | RICHARDSON:1	rGyal lha khaṅ rdo riṅs (Inschrift). Ed.: RICHARDSON 1985, pp. 149-154. Exzp.:
damchoe	DAMCHOE	2	2	2	2	DAmcHoE:1 | DAmcHOE:1	Kah thogrrig'dzin Tshe dbaṅ nor bu (1698-1755). Ed.: DAmcHOE SANGPO 1976-77.
roth	ROTH	2	2	1	2	RoTH:2	BörtLinsK/RoTH 1855-1875 (Sanskrit-Wörterbuch).
kletter	KLETTER	71	35	2	1	KLETTER:70 | KLeTTer:1	KLETTER, Christa/KRIECHBAUM, Monika 2001: Tibetan medicinal plants. With a foreword of H.
kriechbaum	KRIECHBAUM	69	59	2	1	KRIECHBAUM:68 | KriEcHBAUM:1	KLETTER, Christa/KRIECHBAUM, Monika 2001: Tibetan medicinal plants. With a foreword of H.
laufer	LAUFER	38	28	2	1	LAUFER:37 | LAuFER:1	"LAUFER, Berthold 1916: ""Loan-Words in Tibetan."" In: T'oung-pao 17, pp. 403-552."
beyer	BEYER	27	25	2	1	BEYER:26 | BEyER:1	BEYER, Stephan V. 1992: The classical Tibetan language. Albany: State University of New York
maurer	MAURER	21	17	2	1	MAURER:20 | MAurER:1	MAURER, Petra H. 2001: Handschriften zur tibetischen Hippiatrie und Hippologie. Bonn: VGH
schneider	SCHNEIDER	16	16	2	1	SCHNEIDER:15 | ScHnEIDer:1	Visesastava. Ed.: SCHNEIDER 1993, pp. 52-73.
snellgrove	SNELLGROVE	16	16	2	1	SNELLGROVE:15 | SnELLGROVE:1	Biographie des bSod nams blo gros. Ed.: SNELLGROVE 1967, pp. 11-73.
namdak	NAMDAK	14	13	2	1	NAMDAK:13 | NAMDaK:1	"""Dus pa rin po che'i rgyud gzer mig. Ed.: TEnzIN NAMDAK 1965. Exzp.: S. Karmay."
weller	WELLER	12	12	2	1	WELLER:11 | WELLeR:1	WELLER 1950, Anhang: Tibetischer Text des Bodhicaryavatāra. Skt.: Vaipya 1960b. In-
obermiller	OBERMILLER	11	11	2	1	OBERMILLER:10 | OBErMILLER:1	Ed.: STCHERBATSKY/OBERMILLER 1929.
tsepak	TSEPAK	9	5	2	1	TSEPAK:8 | TsEPAK:1	TSEPAK RIGZIN 1986; Nan don rig pa'i miṅ tshig bod dbyin san sbyar. Tibetan
filliozat	FILLIOZAT	8	4	2	1	FILLIOZAT:7 | FiLLiozat:1	dice (EMMERICK), an&mie (FILLIOZAT).
uebach	UEBACH	8	7	2	1	UEBACH:7 | UEBAcH:1	Bearbeitung der Textabb. 19-21: UEBACH 1972.
namkhai	NAMKHAI	7	6	2	1	NAMKHAI:6 | NAmKHAI:1	Andere Ed.: NAmKHAI NORBU/PRATS 1989 (Kürzelzusatz Pr). Exzp.: M. Walter.
bechert	BECHERT	5	5	2	1	BECHERT:4 | BEcHERT:1	BECHERT 1973 ff. (Sanskrit-Wörterbuch der buddhistischen Texte aus den Turfan-Fun-
lamotte	LAMOTTE	5	5	2	1	LAMOTTE:4 | LAMoTTE:1	"LAMOTTE, Etienne 1935: Samdhinirmocana Sūtra. Lexplication des mysteres. ""Texte tibetain edite"
sorensen	SORENSEN	5	5	2	1	SORENSEN:4 | SORENsEN:1	tierte Ausgabe: SORENSEN 1990. Exzp.: G. Houston nach der Auswahl in Housron 1982.
eimer	EIMER	4	4	2	1	EIMER:3 | EiMEr:1	Pravrajyävastu ! EIMER 1983 [Prav]
konchhog	KONCHHOG	4	4	2	1	KONCHHOG:3 | KoNcHHOG:1	ma'i Zal lun bdud rtsi'i thig pa. Ed.: KONCHHOG LHADREPA 1989.
rahder	RAHDER	4	4	2	1	RAHDER:3 | RaHDER:1	kha 16635-28337 das Dasabhūmikasūtra, skt.: RaHDER 1926, Glossar: RAHDER 1928.
takeuchi	TAKEUCHI	4	4	2	1	TAKEUCHI:3 | TakEucHi:1	OTM Manuskripte aus der Sammlung M. A. Stein. Ed.: TakEucHi 1997/98; zitiert wird mit
takeucht	TAKEUCHT	4	4	2	1	TAKEUCHT:3 | TAKEucHt:1	TAKEUCHT, Tsuguhito 1997/98: Old Tibetan manuscripts from East Turkestan in the Stein Collec-
walter	WALTER	4	4	2	1	WALTER:3 | WALTEr:1	"BECKWITH, Christopher/WALTER, Michael C. 2010: ""On the meaniing of Old"
edgerton	EDGERTON	3	3	2	1	EDGERTON:2 | EDGERToN:1	EDGERToN 1953, Bd. 2 (Buddhist Hybrid Sanskrit dictionary).
pradhan	PRADHAN	3	2	2	1	PRADHAN:2 | PraDHAn:1	dharmakosakārika: Ed.: Derge-Tanjur, mNon pa, ku 1b1-25a7. Skt.: PRADHAN 1967.
roerich	ROERICH	3	2	2	1	ROERICH:2 | RoERIcH:1	RoERIcH 1983-1993 (Tibetan-Russian-English dictionary).
scharpe	SCHARPE	3	2	2	1	SCHARPE:2 | ScHARPE:1	Nag mo khol: sPrin gyi pho ña / Kālidāsa: Meghadūta. Ed.: BEckH 1907. Skt.: SCHARPE
tsepal	TSEPAL	3	3	2	1	TSEPAL:2 | TsEpaL:1	dkar po. Ed.: TSEPAL TAIKHANG 1972.
goldstein	GOLDSTEIN	2	2	2	1	GoLDSTEIN:1 | GOLDSTEIN:1	GOLDSTEIN 2001.
gyaltsen	GYALTSEN	2	1	2	1	GYALTsEn:1 | GYALTSEN:1	rab 'byams nor bu zla ba chu sel gyi phren ba. Ed.: GYALTsEn D./KEsanG
petech	PETECH	2	1	2	1	PETEcH:1 | PETECH:1	rers über Sa-skya (1517-1584) (PETECH 11]
